x,y,z
-0.0504521,-0.146694,0.0465289
-0.0473556,-0.13709,0.0501927
-0.0470782,-0.136975,0.0539835
-0.0467734,-0.136765,0.0577677
-0.0492076,-0.145997,0.0627183
-0.0460842,-0.136058,0.0653064
-0.048415,-0.145036,0.0707492
-0.0479781,-0.144403,0.074739
-0.047515,-0.143669,0.0787081
-0.0470264,-0.142833,0.0826538
-0.0465129,-0.141898,0.0865733
-0.0459751,-0.140862,0.0904639
-0.0454139,-0.139728,0.0943231
-0.0448298,-0.138494,0.0981481
-0.0442236,-0.137164,0.101936
-0.0435961,-0.135736,0.105685
-0.0453076,-0.142982,0.113579
-0.0445962,-0.141259,0.117478
-0.0438645,-0.139435,0.121326
-0.0431133,-0.137513,0.125123
-0.0423434,-0.135493,0.128863
-0.0415557,-0.133377,0.132546
-0.0365859,-0.115067,0.125058
-0.0338322,-0.105134,0.122415
-0.0331485,-0.103176,0.125274
-0.0324531,-0.101144,0.128078
-0.0317465,-0.0990396,0.130824
-0.0328537,-0.104158,0.140105
-0.0320731,-0.101746,0.142926
-0.0312829,-0.0992604,0.14568
-0.0321441,-0.103481,0.155527
-0.0328856,-0.107269,0.165663
-0.0319586,-0.104201,0.168554
-0.0310242,-0.101059,0.171359
-0.0328081,-0.109286,0.188998
-0.0317522,-0.10562,0.191931
-0.0331968,-0.112553,0.210278
-0.0296256,-0.0980604,0.19749
-0.0332466,-0.114448,0.233097
-0.0330919,-0.114633,0.244742
-0.0317329,-0.109536,0.247791
-0.0261074,-0.0861583,0.226565
-0.0148438,-0.0377608,0.173428
-0.0126087,-0.0282663,0.196522
-0.0140809,-0.035658,0.264279
0.235409,1.96938,0.958851
0.232926,1.97551,0.899119
0.230104,1.97898,0.839344
0.229264,1.99933,0.786919
0.228201,2.01832,0.733985
0.225829,2.02643,0.677614
0.222284,2.0244,0.618865
0.219528,2.02937,0.562896
0.213502,2.00471,0.500678
0.209469,1.99771,0.444042
0.205292,1.98914,0.388107
0.20088,1.97805,0.332773
0.19941,1.99508,0.281804
0.195738,1.99098,0.228323
0.193925,2.00533,0.176545
0.189978,1.99845,0.123369
0.183126,1.96131,0.070282
0.00635119,-0.134994,0.0467088
0.00655908,-0.13488,0.0502415
0.00675746,-0.134674,0.0537702
0.00694592,-0.134375,0.0572926
0.00813806,-0.14386,0.0620141
0.00729135,-0.133503,0.0643086
0.00848533,-0.142725,0.0695232
0.00864052,-0.142011,0.0732533
0.00878286,-0.1412,0.0769638
0.00891192,-0.140293,0.0806519
0.00902732,-0.13929,0.0843154
0.0102105,-0.147672,0.0909481
0.0103033,-0.146397,0.0948032
0.0103803,-0.145022,0.0986237
0.0082483,-0.125127,0.0949353
0.00828706,-0.12376,0.098196
0.00831112,-0.122309,0.10142
0.0105232,-0.138548,0.113509
0.0105159,-0.136691,0.117119
0.01159,-0.143381,0.125593
0.0125306,-0.148864,0.133954
0.0161125,-0.158545,0.200629
0.0128723,-0.134463,0.183905
0.0130759,-0.132868,0.197561
-0.00154493,-0.028907,0.157024
-0.00251191,-0.0230798,0.158345
-0.0024442,-0.0232497,0.177624
-0.00283568,-0.02076,0.21736
-0.703336,2.39302,0.265454
-0.915559,3.10351,0.245942
-0.92457,3.11561,0.161531
0.0855478,-0.184169,0.0484856
0.0726731,-0.158034,0.052469
0.0687365,-0.149676,0.0563689
0.0774117,-0.166077,0.0625352
0.0688333,-0.1487,0.0649657
0.0688025,-0.148062,0.0692445
0.0685809,-0.146492,0.0777484
0.0724393,-0.153333,0.0840113
0.0721806,-0.152248,0.0884335
0.0718649,-0.151062,0.0928257
0.0714922,-0.149776,0.0971847
0.0710623,-0.148391,0.101508
0.0705753,-0.146908,0.105792
0.0743906,-0.153503,0.1138
0.0737546,-0.151732,0.118238
0.0730584,-0.149861,0.122625
0.072302,-0.147893,0.126959
0.0943961,-0.17594,0.33082
0.0899308,-0.167019,0.349364
0.0909907,-0.168221,0.370614
0.0917978,-0.168984,0.393019
0.0895017,-0.164487,0.405922
0.091364,-0.167035,0.43679
0.09057,-0.1651,0.459854
0.00485068,-0.0203648,0.188133
0.00629501,-0.0226274,0.246245
0.00659096,-0.023033,0.31452
0.648582,-0.539766,0.0638322
0.641099,-0.531899,0.0854224
0.656375,-0.542594,0.108718
